name,calories,proteins,fat,carbohydrate,porsi saji,Kalium,Fosfor,Natrium,status HD,kategori klinis,cairan
Ikan bili segar,88.0,14.2,0.7,6.2,100g,308.4,225.9,72.5,Hindari,Tinggi Kalium & Tinggi Fosfor,77.4
Ikan bubara segar,100.0,14.7,2.4,4.9,100g,313.5,257.6,55.6,Hindari,Tinggi Kalium & Tinggi Fosfor,76.5
Ikan bulan-bulan segar,134.0,25.5,1.3,5.0,100g,364.2,347.7,71.1,Hindari,Tinggi Kalium & Tinggi Fosfor,66.7
Ikan cakalang asap mentah,204.0,34.2,5.6,1.9,100g,436.6,375.4,60.6,Hindari,Tinggi Kalium & Tinggi Fosfor,56.8
Ikan cakalang asin mentah,198.0,36.5,2.2,5.5,100g,468.6,530.5,714.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,54.3
Ikan cakalang hati segar,120.0,11.3,3.9,10.0,100g,324.5,223.1,74.6,Hindari,Tinggi Kalium & Tinggi Fosfor,73.3
Ikan cakalang jantung segar,116.0,11.2,1.2,10.2,100g,318.4,233.7,57.5,Hindari,Tinggi Kalium & Tinggi Fosfor,75.9
Ikan cakalang perut segar,86.0,10.2,1.1,8.7,100g,307.2,215.9,63.6,Hindari,Tinggi Kalium & Tinggi Fosfor,78.5
Ikan cakalang segar,107.0,19.6,0.7,5.5,100g,402.0,280.5,52.1,Hindari,Tinggi Kalium & Tinggi Fosfor,72.7
Ikan calo/ peda mentah,81.0,11.4,1.9,3.8,100g,352.1,233.0,59.6,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.4
Ikan daun segar,101.0,11.5,4.1,4.6,100g,344.0,229.0,79.6,Hindari,Tinggi Kalium & Tinggi Fosfor,78.3
Ikan Ekor Kuning,109.0,17.0,4.0,0.0,100g,367.1,271.6,82.3,Hindari,Tinggi Kalium & Tinggi Fosfor,77.5
Ikan Gabus asap mentah,261.0,38.1,2.3,21.9,100g,457.4,444.7,67.4,Hindari,Tinggi Kalium & Tinggi Fosfor,36.2
Ikan Gabus kering,292.0,58.0,4.0,0.0,100g,605.0,603.7,65.3,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Gabus segar,74.0,25.2,1.7,0.0,100g,383.5,344.5,59.6,Hindari,Tinggi Kalium & Tinggi Fosfor,71.6
Ikan gete goreng,267.0,23.1,19.4,0.2,100g,427.3,324.9,62.1,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan hitam segar,101.0,10.3,3.7,6.7,100g,320.3,211.1,57.2,Hindari,Tinggi Kalium & Tinggi Fosfor,77.8
Ikan hiu kering,298.0,46.3,3.6,20.2,100g,538.7,489.4,56.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan hiu segar,57.0,10.7,0.3,2.2,100g,329.6,244.5,70.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,85.3
Ikan kacangan segar,77.0,15.6,0.9,1.6,100g,600.9,333.4,9.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,80.4
Ikan kakap segar,92.0,20.0,0.7,0.0,100g,400.0,296.1,63.0,Hindari,Tinggi Kalium & Tinggi Fosfor,77.8
Ikan kakatua segar,82.0,11.4,1.2,6.4,100g,349.3,242.2,68.6,Hindari,Tinggi Kalium & Tinggi Fosfor,79.5
Ikan kapar segar,132.0,17.0,6.7,0.8,100g,396.8,269.8,72.4,Hindari,Tinggi Kalium & Tinggi Fosfor,74.0
Ikan katombo asin,162.0,31.7,2.8,0.3,100g,435.5,514.4,788.2,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,63.7
Ikan kawalinya segar,110.0,12.6,4.2,5.4,100g,350.8,240.1,58.3,Hindari,Tinggi Kalium & Tinggi Fosfor,76.3
Ikan kayu kering,302.0,70.7,1.9,0.4,100g,628.0,656.7,81.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Kembung,103.0,22.0,1.0,0.0,100g,358.9,312.3,62.8,Hindari,Tinggi Kalium & Tinggi Fosfor,75.5
Ikan kima segar,70.0,10.8,0.7,5.2,100g,325.5,240.8,71.9,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.8
Ikan Lais bakar,147.0,17.5,6.5,5.4,100g,344.6,279.2,67.3,Hindari,Tinggi Kalium & Tinggi Fosfor,69.1
Ikan Layang,109.0,22.0,1.7,0.0,100g,376.0,334.3,68.9,Hindari,Tinggi Kalium & Tinggi Fosfor,74.8
Ikan layur segar,82.0,18.0,1.0,0.4,100g,373.7,293.0,74.4,Hindari,Tinggi Kalium & Tinggi Fosfor,79.1
Ikan lehoma segar,90.0,20.4,0.9,0.0,100g,375.8,287.4,68.2,Hindari,Tinggi Kalium & Tinggi Fosfor,77.2
Ikan Lele goreng,252.0,19.9,19.1,0.0,100g,356.4,292.9,69.7,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Lemuru,112.0,20.0,3.0,0.0,100g,394.8,300.3,67.5,Hindari,Tinggi Kalium & Tinggi Fosfor,75.5
Ikan lidah segar,104.0,15.6,3.2,2.0,100g,379.8,269.9,85.8,Hindari,Tinggi Kalium & Tinggi Fosfor,77.7
Ikan lomak asin mentah,258.0,40.3,2.3,18.9,100g,493.0,573.4,766.8,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,37.0
Ikan malalugis segar,99.0,20.6,1.4,0.9,100g,386.8,302.8,55.2,Hindari,Tinggi Kalium & Tinggi Fosfor,75.6
Ikan Mas,86.0,16.0,2.0,0.0,100g,343.8,259.8,60.4,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,80.5
Ikan Mas goreng,188.0,19.3,12.2,0.0,100g,377.9,314.8,68.2,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Mas pepes,209.0,15.2,11.3,11.8,200g,319.7,269.3,74.6,Hindari,Tinggi Kalium & Tinggi Fosfor,60.2
Ikan mayong segar,97.0,17.9,2.0,0.4,100g,346.3,282.6,65.1,Hindari,Tinggi Kalium & Tinggi Fosfor,78.2
Ikan Mujair dendeng goreng,598.0,74.3,26.9,9.2,30g,653.0,802.8,764.4,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,0.0
Ikan Mujair dendeng mentah,582.0,68.3,15.2,37.2,30g,626.9,770.9,919.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,0.0
Ikan Mujair goreng,416.0,46.9,23.9,0.0,100g,522.4,512.9,53.7,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Mujair pepes,121.0,21.7,2.8,0.8,200g,344.1,294.4,75.1,Hindari,Tinggi Kalium & Tinggi Fosfor,73.2
Ikan Mujair segar,89.0,18.7,1.0,0.0,100g,351.8,320.9,60.5,Hindari,Tinggi Kalium & Tinggi Fosfor,78.8
Ikan nasu metti segar,154.0,16.8,5.0,10.5,100g,356.1,294.5,81.0,Hindari,Tinggi Kalium & Tinggi Fosfor,66.2
Ikan oci kembung segar,125.0,21.3,3.4,2.2,100g,418.4,324.3,73.2,Hindari,Tinggi Kalium & Tinggi Fosfor,71.6
Ikan Papuyu bakar,152.0,17.6,6.1,6.7,100g,368.7,291.3,60.6,Hindari,Tinggi Kalium & Tinggi Fosfor,68.1
Ikan papuyu/ betok segar,120.0,14.3,4.9,4.6,100g,322.3,257.2,63.6,Hindari,Tinggi Kalium & Tinggi Fosfor,74.7
Ikan Patin bakar,144.0,17.5,6.3,4.3,100g,347.2,289.6,72.6,Hindari,Tinggi Kalium & Tinggi Fosfor,70.4
Ikan Patin segar,132.0,17.0,6.6,1.1,100g,355.3,295.2,55.9,Hindari,Tinggi Kalium & Tinggi Fosfor,73.8
Ikan peda banjar mentah,156.0,28.0,4.0,2.0,100g,410.1,351.4,50.1,Hindari,Tinggi Kalium & Tinggi Fosfor,64.5
Ikan Pepetek,176.0,32.0,4.4,0.0,100g,434.3,388.5,77.1,Hindari,Tinggi Kalium & Tinggi Fosfor,62.1
Ikan Pindang banjar mentah,157.0,28.0,4.2,1.8,100g,426.6,472.3,876.4,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,64.5
Ikan Pindang benggol mentah,170.0,31.0,4.2,0.0,100g,426.0,528.1,842.7,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,63.3
Ikan Pindang layang mentah,153.0,30.0,2.8,0.0,100g,455.9,434.9,722.9,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,65.7
Ikan Pindang selar mentah,142.0,27.0,3.0,0.0,100g,415.0,473.6,519.9,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,68.5
Ikan sale lais mentah,415.0,61.3,17.6,2.9,100g,586.5,595.7,42.0,Hindari,Tinggi Kalium & Tinggi Fosfor,16.7
Ikan Sale segar,534.0,40.2,39.3,4.9,100g,480.5,472.8,78.3,Hindari,Tinggi Kalium & Tinggi Fosfor,14.1
Ikan saluang kering mentah,284.0,34.1,9.9,14.6,100g,438.4,398.5,68.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan saluang segar,113.0,13.9,4.9,3.4,100g,316.5,257.9,71.1,Hindari,Tinggi Kalium & Tinggi Fosfor,76.3
Ikan sanggang masakan,240.0,21.7,7.7,20.7,100g,403.9,311.5,63.4,Hindari,Tinggi Kalium & Tinggi Fosfor,48.4
Ikan sarden segar,109.0,19.9,1.8,3.4,100g,351.9,422.2,757.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,73.4
Ikan Segar,113.0,17.0,4.5,0.0,100g,337.4,295.4,62.8,Hindari,Tinggi Kalium & Tinggi Fosfor,77.0
Ikan Selar kering,194.0,38.0,3.5,0.0,100g,468.6,426.0,45.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan selar kuning cue mentah,138.0,27.0,3.3,0.0,100g,426.2,361.3,62.7,Hindari,Tinggi Kalium & Tinggi Fosfor,68.2
Ikan selar segar,100.0,18.8,2.2,0.0,100g,364.7,297.2,52.5,Hindari,Tinggi Kalium & Tinggi Fosfor,77.5
Ikan Sepat kering,289.0,38.0,14.0,0.0,100g,458.4,444.5,55.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan sepat segar,84.0,15.2,0.6,4.7,100g,349.5,247.7,68.7,Hindari,Tinggi Kalium & Tinggi Fosfor,78.0
Ikan sidat segar,81.0,11.4,1.9,3.8,100g,322.0,216.1,74.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.4
Ikan sunu asin mentah,199.0,34.1,3.8,7.1,100g,432.9,480.6,854.4,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,53.5
Ikan sunu segar,111.0,13.3,3.4,6.7,100g,334.4,254.9,70.5,Hindari,Tinggi Kalium & Tinggi Fosfor,75.1
Ikan tahuman segar,88.0,15.9,0.9,4.1,100g,583.4,341.7,11.7,Hindari,Tinggi Kalium & Tinggi Fosfor,77.6
Ikan tarmon segar,96.0,19.5,1.1,2.0,100g,369.0,283.4,41.6,Hindari,Tinggi Kalium & Tinggi Fosfor,75.9
Ikan telan segar,95.0,15.8,0.7,6.5,100g,355.6,279.3,46.1,Hindari,Tinggi Kalium & Tinggi Fosfor,75.5
Ikan telur asin mentah,358.0,20.7,26.4,9.4,100g,353.7,404.5,734.0,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,42.0
Ikan Tembang,204.0,16.0,15.0,0.0,100g,344.3,286.5,59.8,Hindari,Tinggi Kalium & Tinggi Fosfor,67.5
Ikan tempahas segar,101.0,15.1,4.1,1.0,100g,327.1,257.5,57.4,Hindari,Tinggi Kalium & Tinggi Fosfor,78.3
Ikan tepung mentah,316.0,60.1,6.5,22.4,100g,593.0,620.2,67.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan terbang segar,98.0,19.6,1.7,1.0,100g,362.8,293.5,52.5,Hindari,Tinggi Kalium & Tinggi Fosfor,76.2
Ikan Teri bubuk,277.0,60.0,2.3,1.8,100g,607.7,599.1,63.6,Hindari,Tinggi Kalium & Tinggi Fosfor,34.4
Ikan Teri kering,170.0,33.4,3.0,0.0,100g,507.6,404.1,59.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Teri Kering tawar,331.0,68.7,4.2,0.0,100g,629.3,679.0,65.9,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan Teri Nasi kering,144.0,32.5,0.6,0.0,150g,410.0,404.8,59.7,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan teri segar,74.0,10.3,1.4,4.1,100g,354.1,240.2,61.4,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,82.7
Ikan Teri tepung,347.0,48.8,6.4,19.6,100g,554.0,516.8,71.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Ikan titang segar,82.0,17.4,0.4,2.3,100g,365.4,270.3,59.9,Hindari,Tinggi Kalium & Tinggi Fosfor,78.4
Ikan tongkol segar,100.0,13.7,1.5,8.0,100g,355.9,248.7,61.8,Hindari,Tinggi Kalium & Tinggi Fosfor,75.3
Ikan turi segar,96.0,19.2,2.0,0.2,100g,346.5,299.1,81.5,Hindari,Tinggi Kalium & Tinggi Fosfor,77.1
Intip goreng,474.0,7.6,21.6,62.3,100g,88.0,69.4,17.6,Aman,Rendah Kalium,7.0
Itik alabio daging dendeng mentah,496.0,30.3,33.5,18.4,30g,425.1,488.0,757.9,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Natrium,16.3
Jagung grontol,156.0,2.7,1.3,33.3,100g,75.7,56.6,22.4,Aman,Rendah Kalium,61.2
Jagung Kuning giling,361.0,8.7,4.5,72.4,100g,109.0,76.8,12.8,Aman,Normal / Seimbang,12.9
Jagung Kuning muda,129.0,4.1,1.3,30.3,100g,68.6,56.2,10.8,Aman,Rendah Kalium,62.8
Jagung Kuning pipil baru,307.0,7.9,3.4,63.6,100g,99.4,81.1,8.0,Aman,Rendah Kalium,23.6
Jagung kuning pipil kering mentah,366.0,9.8,7.3,69.1,100g,116.1,89.6,11.5,Aman,Normal / Seimbang,8.0
Jagung Kuning pipil lama,355.0,9.2,3.9,73.7,100g,89.7,71.5,17.2,Aman,Rendah Kalium,11.7
Jagung kuning pipil rebus,154.0,3.8,3.5,28.4,100g,163.8,38.1,7.0,Batasi,Normal / Seimbang,62.8
Jagung Kuning segar,140.0,4.7,1.3,33.1,100g,81.4,60.5,11.0,Aman,Rendah Kalium,59.4
Jagung kuning tepung,355.0,9.2,3.9,73.7,100g,103.7,73.3,8.3,Aman,Normal / Seimbang,8.0
Jagung muda,35.0,2.2,0.1,7.4,100g,68.6,42.3,16.9,Batasi,Rendah Kalium & Tinggi Cairan,88.8
Jagung muda kuning mentah,147.0,5.1,0.7,31.5,100g,87.6,65.9,10.3,Aman,Rendah Kalium,61.2
Jagung muda rebus,142.0,5.0,0.7,30.3,100g,171.2,47.4,6.2,Batasi,Normal / Seimbang,62.5
Jagung pipil var. harapan kering,367.0,6.2,5.1,76.2,100g,99.8,53.5,16.8,Aman,Rendah Kalium,8.0
Jagung pipil var. metro kering,368.0,5.5,4.6,78.0,100g,91.7,61.4,13.1,Aman,Rendah Kalium,8.0
Jagung Putih giling,361.0,8.7,4.5,72.4,100g,102.3,78.8,10.1,Aman,Normal / Seimbang,12.9
Jagung Putih muda,129.0,4.1,1.3,30.3,100g,78.4,42.7,12.5,Aman,Rendah Kalium,62.8
Jagung Putih pipil baru,307.0,7.9,3.4,63.6,100g,113.6,62.5,9.3,Aman,Normal / Seimbang,23.6
Jagung Putih pipil lama,355.0,9.2,3.9,73.7,100g,110.8,77.8,13.4,Aman,Normal / Seimbang,11.7
Jagung Putih segar,140.0,4.7,1.3,33.1,100g,78.6,61.2,16.4,Aman,Rendah Kalium,59.4
Jagung Rebus ,175.0,1.8,1.8,35.0,100g,176.9,32.1,9.3,Batasi,Normal / Seimbang,59.9
Jagung Sayur (tumis) ,148.9,10.4,10.4,20.1,100g,176.9,71.3,6.1,Batasi,Normal / Seimbang,57.6
Jagung titi,374.0,9.4,2.2,79.1,100g,118.4,76.3,3.3,Aman,Normal / Seimbang,7.8
Jahe,51.0,1.5,1.0,10.1,100g,61.1,37.5,11.6,Batasi,Rendah Kalium & Tinggi Cairan,85.9
Jali,289.0,11.0,4.0,61.0,100g,110.6,86.0,14.8,Aman,Normal / Seimbang,22.5
Jam selai,239.0,0.5,0.6,64.5,100g,69.1,41.4,11.0,Aman,Rendah Kalium,32.9
Jambal goreng,286.0,48.5,9.2,2.3,100g,221.6,258.2,8.3,Hindari,Tinggi Fosfor,8.0
Jambu Air,46.0,0.6,0.0,11.8,100g,116.9,11.9,2.6,Batasi,Tinggi Cairan,86.1
Jambu Biji,49.0,0.9,0.3,12.2,100g,111.5,19.8,1.8,Batasi,Tinggi Cairan,85.1
Jambu biji putih tidak berbiji,61.0,0.9,0.3,15.4,100g,108.0,14.2,1.8,Batasi,Tinggi Cairan,81.9
Jambu Bol,56.0,0.6,0.3,14.2,100g,116.3,8.7,1.2,Batasi,Tinggi Cairan,83.4
Jambu Monyet buah,64.0,0.7,0.6,15.8,100g,102.5,16.6,3.4,Batasi,Tinggi Cairan,81.4
Jampang huma mentah,350.0,6.2,1.4,78.2,100g,97.1,61.5,12.3,Aman,Rendah Kalium,12.7
Jamur Coklat (kulat siau),45.0,2.5,3.9,0.0,100g,63.0,38.8,13.0,Batasi,Rendah Kalium & Tinggi Cairan,92.1
Jamur encik,296.0,9.4,1.1,62.0,100g,110.5,81.3,12.8,Aman,Normal / Seimbang,26.0
Jamur kuping kering,294.0,16.0,0.9,64.6,100g,134.8,85.4,14.7,Aman,Normal / Seimbang,8.0
Jamur kuping segar,21.0,3.8,0.6,0.9,100g,53.4,37.5,14.0,Batasi,Rendah Kalium & Tinggi Cairan,93.2
Jamur merang segar,30.0,3.5,0.2,4.0,100g,69.8,49.7,15.8,Batasi,Rendah Kalium & Tinggi Cairan,90.8
Jamur Putih (kulat putih),48.0,2.8,4.1,2.9,100g,68.9,58.1,18.6,Batasi,Rendah Kalium & Tinggi Cairan,88.7
Jamur sagu,48.0,1.9,3.2,2.8,100g,58.7,44.2,5.6,Batasi,Rendah Kalium & Tinggi Cairan,90.6
Jamur tiram segar,30.0,1.9,0.1,5.5,100g,51.9,36.8,20.7,Batasi,Rendah Kalium & Tinggi Cairan,91.0
Jangang bintatoeng masakan,107.0,5.3,2.2,16.5,100g,68.7,59.8,14.2,Aman,Rendah Kalium,74.5
Jantung Pisang segar,31.0,1.2,0.3,7.1,100g,338.5,20.1,1.5,Hindari,Tinggi Kalium & Tinggi Cairan,89.9
Japilus,500.0,1.2,25.1,67.3,30g,77.7,143.5,583.3,Hindari,Rendah Kalium & Tinggi Natrium,4.9
Jaruk Tigarun,48.0,2.5,4.2,0.0,100g,50.3,40.7,6.4,Batasi,Rendah Kalium & Tinggi Cairan,91.8
Jawawut,334.0,9.7,3.5,73.4,100g,107.6,66.6,15.0,Aman,Normal / Seimbang,11.9
Jenang ,381.7,9.5,9.5,65.8,100g,105.2,66.1,10.8,Aman,Normal / Seimbang,13.7
Jengkol segar,192.0,5.4,0.3,40.7,100g,74.2,61.9,17.4,Aman,Rendah Kalium,52.1
Jeruk Bali,48.0,0.6,0.2,12.4,100g,93.7,13.8,1.9,Batasi,Rendah Kalium & Tinggi Cairan,85.3
Jeruk banjar segar,61.0,0.8,0.2,14.1,100g,115.2,14.6,1.4,Batasi,Tinggi Cairan,83.4
Jeruk Garut,44.0,0.8,0.3,10.9,100g,105.1,11.6,2.9,Batasi,Tinggi Cairan,86.5
Jeruk Kalamansi segar,39.0,0.3,0.3,8.9,100g,106.4,18.5,2.0,Batasi,Tinggi Cairan,89.0
Jeruk Manis,45.0,0.9,0.2,11.2,100g,102.2,9.7,1.0,Batasi,Tinggi Cairan,86.2
Jeruk Nipis,37.0,0.8,0.1,12.3,100g,95.9,14.8,2.4,Batasi,Rendah Kalium & Tinggi Cairan,85.3
Jeruk ragi segar,49.0,0.7,0.2,11.1,100g,95.1,16.4,1.6,Batasi,Rendah Kalium & Tinggi Cairan,86.5
Jotang,32.0,1.9,0.3,7.1,100g,140.3,40.0,9.8,Batasi,Tinggi Cairan,89.2
Jukku pallu kaloa masakan,15.0,15.2,4.3,8.8,100g,99.6,96.3,3.4,Aman,Rendah Kalium,70.2
Kabau segar,130.0,6.7,0.3,25.2,100g,72.8,63.5,8.1,Aman,Rendah Kalium,66.3
Kaburan ubi segar,133.0,1.0,0.2,32.2,100g,414.7,29.8,7.6,Hindari,Tinggi Kalium,65.1
Kabuto,250.0,2.6,2.5,35.4,100g,63.1,48.0,13.8,Aman,Rendah Kalium,58.0
Kacang Andong,356.0,20.5,4.1,61.6,100g,597.7,405.2,14.6,Hindari,Tinggi Kalium & Tinggi Fosfor,12.3
Kacang Arab,330.0,23.8,1.4,60.2,100g,658.5,421.0,15.9,Hindari,Tinggi Kalium & Tinggi Fosfor,13.1
Kacang atom,533.0,27.8,38.1,28.8,100g,721.8,446.7,12.6,Hindari,Tinggi Kalium & Tinggi Fosfor,3.8
Kacang babi kering,341.0,30.4,3.2,51.3,100g,733.0,446.0,15.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang belimbing (kecipir) kering,400.0,34.4,16.9,34.1,100g,763.2,492.1,14.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Belimbing rebus,204.0,16.9,8.8,17.5,100g,542.0,347.0,15.4,Hindari,Tinggi Kalium & Tinggi Fosfor,55.3
Kacang Belimbing tempe,212.0,17.5,10.0,12.9,100g,599.0,344.6,20.1,Hindari,Tinggi Kalium & Tinggi Fosfor,58.1
Kacang beracun segar,118.0,4.4,1.5,21.6,100g,442.3,269.7,16.7,Hindari,Tinggi Kalium & Tinggi Fosfor,71.0
Kacang Bogor goreng,479.0,12.7,23.2,58.9,100g,530.8,348.2,10.2,Hindari,Tinggi Kalium & Tinggi Fosfor,3.7
Kacang bogor kering,370.0,16.0,6.0,65.0,100g,603.0,363.0,12.3,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Bogor rebus,161.0,7.7,2.8,27.1,100g,531.8,277.8,16.2,Hindari,Tinggi Kalium & Tinggi Fosfor,60.9
Kacang bogor segar,165.0,7.7,3.1,27.4,100g,503.5,279.6,18.2,Hindari,Tinggi Kalium & Tinggi Fosfor,60.3
Kacang Endel biji,331.0,25.0,1.0,58.0,100g,689.8,393.8,20.2,Hindari,Tinggi Kalium & Tinggi Fosfor,14.5
Kacang ercis segar,129.0,12.4,0.7,18.3,100g,502.4,334.7,19.5,Hindari,Tinggi Kalium & Tinggi Fosfor,67.1
kacang galing segar,336.0,23.1,1.7,59.5,100g,623.7,398.6,10.6,Hindari,Tinggi Kalium & Tinggi Fosfor,14.2
Kacang goyang,516.0,14.7,31.1,44.4,100g,561.6,333.0,18.1,Hindari,Tinggi Kalium & Tinggi Fosfor,8.3
Kacang Gude biji,336.0,20.7,1.4,62.0,100g,659.8,406.5,12.8,Hindari,Tinggi Kalium & Tinggi Fosfor,14.4
Kacang gude biji kering,316.0,20.7,1.0,58.0,100g,621.8,360.3,11.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Gude biji muda,114.0,7.0,0.6,20.8,100g,514.1,300.2,10.1,Hindari,Tinggi Kalium & Tinggi Fosfor,70.1
Kacang Gude muda,123.0,8.4,0.6,1.8,100g,489.2,286.8,16.1,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,87.7
Kacang gude rebus,147.0,9.0,0.5,27.5,100g,489.8,298.4,13.1,Hindari,Tinggi Kalium & Tinggi Fosfor,61.5
Kacang hijau kering,323.0,22.9,1.5,56.8,100g,648.6,411.4,15.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
kacang hijau rebus,109.0,8.7,0.5,18.3,100g,496.1,288.0,14.6,Hindari,Tinggi Kalium & Tinggi Fosfor,71.0
Kacang hijau var. bakti kering,350.0,17.1,1.8,70.7,100g,581.7,352.9,21.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang hijau var. siwalik kering,339.0,20.8,2.1,64.6,100g,642.0,382.0,17.8,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang hitam kering,346.0,16.6,1.7,66.1,100g,577.7,370.4,16.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Ijo,345.0,22.2,1.2,62.9,100g,639.3,404.3,8.7,Hindari,Tinggi Kalium & Tinggi Fosfor,12.2
Kacang Kapri Goreng ,445.0,11.0,11.0,65.5,100g,501.8,290.1,15.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Kapri muda,98.0,6.7,0.4,17.7,100g,530.3,307.1,17.6,Hindari,Tinggi Kalium & Tinggi Fosfor,73.7
Kacang Kedelai basah,286.0,30.2,15.6,30.1,100g,734.5,434.6,12.8,Hindari,Tinggi Kalium & Tinggi Fosfor,22.6
Kacang kedelai goreng,521.0,32.2,37.7,22.9,100g,722.3,468.3,14.3,Hindari,Tinggi Kalium & Tinggi Fosfor,5.7
Kacang kedelai kering,381.0,40.4,16.7,24.9,100g,812.2,513.5,18.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Kedelai kukus,75.0,4.1,2.1,10.7,100g,434.2,256.4,23.3,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,81.6
Kacang kedelai rebus,189.0,20.2,8.2,12.7,100g,599.0,343.6,13.9,Hindari,Tinggi Kalium & Tinggi Fosfor,57.4
Kacang kedelai segar,286.0,30.2,15.6,30.1,100g,749.5,491.0,10.1,Hindari,Tinggi Kalium & Tinggi Fosfor,22.6
Kacang komak segar,327.0,16.4,4.3,55.8,100g,596.4,344.2,14.6,Hindari,Tinggi Kalium & Tinggi Fosfor,22.0
Kacang kuning kering,355.0,17.0,2.5,66.0,100g,656.1,333.5,16.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang lebui /iris kering,346.0,16.5,1.5,66.6,100g,596.7,368.3,15.4,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang mekah polong segar,22.0,1.1,1.0,3.4,100g,438.7,222.9,16.1,Hindari,Tinggi Kalium & Tinggi Fosfor & Tinggi Cairan,93.0
Kacang mentega kering,344.0,16.7,2.1,64.6,100g,578.4,362.9,13.5,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Merah,336.0,23.1,1.7,59.5,100g,660.4,404.4,19.5,Hindari,Tinggi Kalium & Tinggi Fosfor,14.2
Kacang merah /banda kering,350.0,13.9,3.0,66.9,100g,557.7,304.6,20.0,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang merah kering,314.0,22.1,1.1,56.2,100g,618.4,387.0,12.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang Merah kering rebus,158.0,10.3,0.9,28.2,100g,557.4,270.4,27.6,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
Kacang merah segar,171.0,11.0,2.2,28.0,100g,556.4,311.3,14.8,Hindari,Tinggi Kalium & Tinggi Fosfor,57.3
Kacang Merah segar rebus,144.0,10.0,1.0,24.7,100g,527.1,307.8,17.6,Hindari,Tinggi Kalium & Tinggi Fosfor,62.8
Kacang merah tua kering,280.0,16.7,1.6,63.2,100g,600.9,354.9,14.2,Hindari,Tinggi Kalium & Tinggi Fosfor,8.0
